match_id,event,year,map,player,agent,rating,acs,kills,deaths,assists,plus_minus_kd,kast,adr,hs_perc,first_kills,first_deaths,plus_minus_fkd,clutches
427996,americas_kickoff_2025,2025,abyss,zellsis,kayo,1.42,280,18,/ 13 /,17,5,78%,158,24%,1,1,0,0
427996,americas_kickoff_2025,2025,abyss,bang,astra,1.4,224,13,/ 9 /,14,4,83%,149,38%,3,0,3,0
427996,americas_kickoff_2025,2025,abyss,zekken,jett,1.28,234,17,/ 11 /,4,6,78%,181,33%,4,4,0,0
427996,americas_kickoff_2025,2025,abyss,johnqt,sova,1.24,178,11,/ 9 /,10,2,94%,125,30%,3,1,2,0
427996,americas_kickoff_2025,2025,abyss,n4rrate,omen,1.16,229,14,/ 13 /,13,1,89%,148,22%,1,0,1,1
427996,americas_kickoff_2025,2025,pearl,johnqt,tejo,1.06,184,27,/ 28 /,8,-1,73%,126,25%,2,5,-3,1
427996,americas_kickoff_2025,2025,pearl,bang,astra,1.03,201,24,/ 30 /,25,-6,85%,142,38%,2,3,-1,1
427996,americas_kickoff_2025,2025,pearl,zellsis,vyse,1,224,31,/ 32 /,10,-1,70%,153,33%,5,1,4,1
427996,americas_kickoff_2025,2025,pearl,zekken,yoru,0.96,233,32,/ 31 /,10,1,63%,144,24%,9,9,0,0
427996,americas_kickoff_2025,2025,pearl,n4rrate,fade,0.84,148,19,/ 29 /,13,-10,73%,93,15%,0,4,-4,1
427996,americas_kickoff_2025,2025,split,zekken,yoru,1.56,310,23,/ 14 /,7,9,75%,184,24%,6,4,2,1
427996,americas_kickoff_2025,2025,split,n4rrate,breach,1.19,200,15,/ 10 /,7,5,80%,109,26%,1,1,0,1
427996,americas_kickoff_2025,2025,split,zellsis,viper,1.13,191,12,/ 12 /,11,0,70%,137,19%,1,1,0,0
427996,americas_kickoff_2025,2025,split,johnqt,tejo,0.93,175,11,/ 12 /,6,-1,80%,121,13%,2,1,1,0
427996,americas_kickoff_2025,2025,split,bang,omen,0.86,152,11,/ 13 /,9,-2,75%,95,36%,0,3,-3,0
427996,americas_kickoff_2025,2025,split,johnqt,tejo,1.54,208,14,/ 7 /,6,7,82%,137,47%,0,0,0,1
427996,americas_kickoff_2025,2025,split,n4rrate,breach,1.41,240,16,/ 9 /,8,7,88%,153,25%,2,2,0,1
427996,americas_kickoff_2025,2025,split,zellsis,viper,1.21,268,18,/ 11 /,2,7,88%,174,24%,3,1,2,1
427996,americas_kickoff_2025,2025,split,zekken,yoru,1.2,252,17,/ 12 /,3,5,88%,176,43%,3,2,1,0
