match_id,event,opponent,map_name,map_num,round,buy,opp_buy,side,spike_planted,plant_time,fk_time,fk_player,fd_player,round_result,round_win,johnqt_k_pre,reduxx_k_pre,cortezia_k_pre,jonahp_k_pre,jerrwin_k_pre,n4rrate_k_pre,kyu_k_pre,victor_k_pre,johnqt_k_post,reduxx_k_post,cortezia_k_post,jonahp_k_post,jerrwin_k_post,n4rrate_k_post,kyu_k_post,victor_k_post
596413,amer_kickoff_2026,100t,split,2,11,f,f,ct,1.0,36.0,19,,reduxx,time_no_defuse,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,
596413,amer_kickoff_2026,100t,split,2,12,f,f,ct,0.0,,8,,kyu,t_elim,0,0.0,0.0,2.0,,,1.0,0.0,,,,,,,,,
596413,amer_kickoff_2026,100t,split,2,13,e,e,t,1.0,38.0,27,reduxx,,t_elim,1,0.0,2.0,0.0,,,1.0,0.0,,1.0,1.0,0.0,,,,0.0,
596413,amer_kickoff_2026,100t,split,2,14,sb,e,t,0.0,,35,cortezia,,ct_elim,0,0.0,2.0,1.0,,,0.0,0.0,,,,,,,,,
596413,amer_kickoff_2026,100t,split,2,15,se,f,t,0.0,,16,,n4rrate,ct_elim,0,0.0,1.0,1.0,,,0.0,1.0,,,,,,,,,
596413,amer_kickoff_2026,100t,split,2,16,f,f,t,1.0,93.0,10,n4rrate,,time_no_defuse,1,0.0,2.0,0.0,,,1.0,1.0,,0.0,0.0,0.0,,,0.0,0.0,
596413,amer_kickoff_2026,100t,split,2,17,f,sb,t,1.0,87.0,23,reduxx,,t_elim,1,0.0,1.0,0.0,,,2.0,0.0,,0.0,1.0,,,,,1.0,
596413,amer_kickoff_2026,100t,split,2,18,f,se,t,1.0,79.0,13,n4rrate,,defuse,0,1.0,0.0,1.0,,,1.0,0.0,,1.0,0.0,,,,,,
596413,amer_kickoff_2026,100t,split,2,19,f,f,t,1.0,35.0,24,reduxx,,t_elim,1,0.0,1.0,1.0,,,0.0,0.0,,1.0,1.0,0.0,,,1.0,0.0,
596413,amer_kickoff_2026,100t,split,2,20,f,se,t,1.0,84.0,28,cortezia,,t_elim,1,1.0,0.0,1.0,,,0.0,0.0,,0.0,3.0,,,,0.0,0.0,
596413,amer_kickoff_2026,100t,split,2,21,f,f,t,1.0,93.0,30,,n4rrate,defuse,0,0.0,1.0,0.0,,,0.0,0.0,,1.0,,0.0,,,,0.0,
596413,amer_kickoff_2026,100t,split,2,22,f,f,t,1.0,89.0,75,johnqt,,time_no_defuse,1,1.0,2.0,0.0,,,1.0,0.0,,0.0,0.0,0.0,,,,,
596413,amer_kickoff_2026,100t,split,2,23,f,sb,t,1.0,23.0,13,,reduxx,t_elim,1,3.0,0.0,0.0,,,0.0,0.0,,2.0,,0.0,,,,0.0,
596413,amer_kickoff_2026,100t,split,2,24,f,sb,t,,,12,reduxx,,t_elim,1,0.0,2.0,0.0,,,2.0,1.0,,,,,,,,,
596413,amer_kickoff_2026,100t,split,2,25,f,f,ct,1.0,71.0,59,,johnqt,t_elim,0,0.0,2.0,0.0,,,0.0,0.0,,,,,,,,1.0,
596413,amer_kickoff_2026,100t,split,2,26,f,f,t,1.0,89.0,29,,n4rrate,t_elim,1,0.0,0.0,1.0,,,0.0,0.0,,3.0,1.0,0.0,,,,0.0,
596413,amer_kickoff_2026,100t,split,2,27,f,f,ct,1.0,29.0,22,,n4rrate,t_elim,0,0.0,1.0,1.0,,,0.0,0.0,,0.0,1.0,0.0,,,,,
596413,amer_kickoff_2026,100t,split,2,28,f,f,t,1.0,66.0,25,reduxx,,t_elim,1,1.0,1.0,2.0,,,0.0,0.0,,0.0,,1.0,,,,,
596413,amer_kickoff_2026,100t,split,2,29,f,f,ct,1.0,76.0,61,,cortezia,t_elim,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,,
596413,amer_kickoff_2026,100t,split,2,30,f,f,t,1.0,93.0,79,,kyu,defuse,0,2.0,1.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,,
596422,amer_kickoff_2026,lev,corrode,1,1,e,e,t,1.0,51.0,8,,reduxx,defuse,0,0.0,0.0,2.0,,,1.0,0.0,,0.0,,1.0,,,,,
